Parent Produk,Tipe,Nama Produk,SKU,Satuan
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Putih Lancip Lubang 6,SBLKDSL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Putih Lancip Lubang 8.5,SBLKDSL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Putih Tumpul Lubang 6,SBLKDST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Tumpul Lubang 6,SBLK0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Tumpul Lubang 8.5,SBLK0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Dop Lancip Lubang 6,SBLMDSL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Dop Lancip Lubang 8.5,SBLMDSL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Lancip Lubang 6,SBLM0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Lancip Lubang 8.5,SBLM0SL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Putih Lancip Lubang 10,SBLM0SL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Putih Lancip Lubang 12,SBLM0SL12,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Putih Lancip Lubang 6,MLD-BJ-004,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Putih Tumpul Lubang 6,SBLMDST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Tumpul Lubang 6,SBLM0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Merah Tumpul Lubang 8.5,SBLM0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Lancip Lubang 6,SBLO0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Putih Lancip Lubang 10,SBLODSL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Putih Lancip Lubang 6,SBLODSL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Putih Tumpul Lubang 6,SBLODST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Tumpul Lubang 6,SBLO0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Orange Tumpul Lubang 8.5,SBLO0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Jasa,BJ000019,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Lancip Lubang 6,SBLP0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Lancip Lubang 8.5,SBLP0SL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Putih,SBLPDKT,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Putih Lancip Lubang 10,SBLPDSL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Putih Lancip Lubang 12,SBLPDSL12,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Putih Lancip Lubang 6,BJ000014,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Putih Tumpul Lubang 6,SBLPDST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Tumpul Lubang 6,SBLP0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Pink Tumpul Lubang 8.5,SBLP0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Steril,SBP00WL-11,PCS
Sedotan,FINISHED_GOOD,Sedotan Bening Steril Full Printing,SBP00SL-11,PCS
Sedotan,FINISHED_GOOD,Sedotan Bening Super,SBP00ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Super 1,SBP00WT6,KG
